size,address,rate,status,bathrooms,floor,balconies,security_deposit,facing,status.1,rera_id,ownership_type,booking_amount,overlooking,bedroom,type1,type2,price_in_lakh,carpet_area,age_of_property,floor,total_floor,additional_rooms,price_negotiable,balconies,type_of_sale,booking_amount_in_lakh,amenities_sports_facility,amenities_shopping_mall,amenities_maintenance_staff,amenities_jogging_track,amenities_atm,amenities_gymnasium,amenities_indoor_games,amenities_rain_water_harvesting,amenities_swimming_pool,amenities_intercom,amenities_cafeteria,amenities_full_power_backup,amenities_lift,amenities_childrens_play_area,amenities_car_parking,amenities_landscaped_gardens,amenities_24_x_7_security,amenities_club_house,amenities_staff_quarter,amenities_hospital,amenities_multipurpose_room,amenities_vaastu_compliant,amenities_golf_course,amenities_school,furnish_detail_gas_connection,furnish_detail_ac,furnish_detail_bed,furnish_detail_dining_table,furnish_detail_washing_machine,furnish_detail_tv,furnish_detail_microwave,furnish_detail_wardrobe,furnish_detail_sofa,furnish_detail_wifi,furnish_detail_refrigerator
3631,"sector 107, noida",23409.0,Ready to move,5.0,,,No Deposit,NorthEast,Semi-Furnished,UPRERAPRJ837374,,,,4,BHK,Apartment,850.0,2570.0,1,,,,No,,Resale,,True,False,False,True,False,True,True,True,True,True,False,True,True,True,True,True,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False
1800,"sector 129, noida",6666.0,Under Construction,3.0,,,No Deposit,NorthEast,Unfurnished,UPRERAPRJ3709,,,,3,BHK,Apartment,120.0,1680.0,,,,,No,,Resale,,False,True,False,True,True,True,False,True,True,False,False,True,True,True,True,True,True,True,True,True,False,True,True,True,,,,,,,,,,,
494,"sector 143, noida",6477.0,Ready to move,1.0,,,No Deposit,,Furnished,,,,,1,RK,Studio Apartment,32.0,,6,,,,No,,Resale,,True,False,False,False,False,False,False,False,False,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,True,True,False,True,False,True
2038,"extension, noida, noida",9224.0,Under Construction,3.0,,,No Deposit,NorthEast,Semi-Furnished,UPRERAPRJ145736,,,,4,BHK,Apartment,188.0,1250.0,,,,,No,,New,,True,False,False,True,False,True,False,False,True,True,False,True,True,True,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
1500,"extension, noida, noida",2606.0,Ready to move,1.0,,,No Deposit,North,Furnished,Rera Not Applicable,,,,3,BHK,Apartment,39.1,1385.0,2,,,,No,,New,,True,False,False,False,False,False,False,False,False,True,False,True,True,True,True,False,True,True,False,False,False,False,False,False,False,False,True,True,False,True,True,False,False,False,False
1554,"sector 168, noida",11261.0,Ready to move,3.0,,,No Deposit,,Semi-Furnished,"UPRERAPRJ10240, UPRERAPRJ10275",,,,3,BHK,Apartment,175.0,1300.0,7,,,,No,,Resale,,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,,,,,,,,,,,
1680,"extension, noida, noida",7440.0,Ready to move,3.0,,,No Deposit,North,Semi-Furnished,Rera Not Applicable,,,,3,BHK,Apartment,125.0,,9,,,,No,,Resale,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,True,True,False,True,,,,,,,,,,,
953,"sector 151, noida",7240.0,Ready to move,2.0,,,No Deposit,NorthEast,Semi-Furnished,UPRERAPRJ3824,,,,2,BHK,Apartment,69.0,,6,,,,No,,Resale,,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False
851,"sector 16b, noida",4582.0,Under Construction,2.0,,,No Deposit,,Semi-Furnished,,,,,2,BHK,Apartment,39.0,,,,,,No,,New,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1285,"sector 137, noida",6614.0,Ready to move,2.0,,,No Deposit,East,Semi-Furnished,Rera Not Applicable,,,,3,BHK,Apartment,85.0,,8,,,,No,,Resale,,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False
6250,"sector 128, noida",14400.0,Under Construction,5.0,,,No Deposit,NorthEast,Semi-Furnished,UPRERAPRJ2051,,,,5,BHK,Apartment,900.0,6250.0,,,,,No,,Resale,,True,False,True,False,False,True,True,False,True,True,False,True,True,True,True,False,True,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False
529,"sector 73, noida",3873.0,Ready to move,1.0,,,No Deposit,SouthEast,Semi-Furnished,,,,,1,BHK,Apartment,20.49,379.0,,,,,No,,New,,True,False,False,False,False,True,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
4700,"sector 144, noida",17659.0,Ready to move,5.0,,,No Deposit,NorthEast,Semi-Furnished,UPRERAPRJ950870,,,,4,BHK,Apartment,830.0000000000001,2700.0,,,,,No,,Resale,,False,False,True,True,False,True,True,True,True,True,False,True,True,True,True,False,True,True,False,False,False,False,False,False,,,,,,,,,,,
1404,"sector 150, noida",11039.0,Ready to move,2.0,,,No Deposit,West,Semi-Furnished,UPRERAPRJ15172,,,,3,BHK,Apartment,155.0,828.0,,,,,No,,Resale,,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,False,False,,,,,,,,,,,
